86.975  0.24529  0.1039  0.00022096  0.0001215  0.00046199  0.0016748  0.00041801  0.0016078  2.7757e-05  0.00023643  4.8169e-05  0.0003187  4.9664e-05  0.00022772  7.5627e-06  3.8849e-05  7.1751e-06  1.6999e-05  1.2707e-05  3.3123e-05  7.4665e-06  2.7117e-05  1.3227e-05  2.5312e-05  1.6124e-05  0.00016664  1.1318e-06  7.9108e-06
100  0.28363  0.11648  0.00024817  0.00013681  0.0005173  0.0018801  0.0004696  0.0018052  3.1236e-05  0.0002653  5.3963e-05  0.00035756  5.5797e-05  0.00025564  8.5426e-06  4.3795e-05  8.1241e-06  1.9147e-05  1.4378e-05  3.7391e-05  8.4192e-06  3.0434e-05  1.4821e-05  2.8398e-05  1.802e-05  0.00018648  1.2656e-06  8.8662e-06
114.98  0.32648  0.12944  0.00027664  0.00015296  0.00057426  0.0020927  0.00052318  0.0020099  3.4884e-05  0.00029517  5.9935e-05  0.00039775  6.2183e-05  0.00028458  9.5828e-06  4.9e-05  9.1406e-06  2.1414e-05  1.6161e-05  4.1905e-05  9.4261e-06  3.3886e-05  1.647e-05  3.1601e-05  1.9962e-05  0.00020688  1.4028e-06  9.8531e-06
132.19  0.37368  0.14242  0.00030579  0.00016964  0.0006314  0.0023074  0.00057741  0.0022168  3.8623e-05  0.00032529  6.5931e-05  0.00043827  6.8674e-05  0.0003138  1.0665e-05  5.4358e-05  1.0209e-05  2.3754e-05  1.8027e-05  4.6579e-05  1.0468e-05  3.7392e-05  1.8132e-05  3.4845e-05  2.1898e-05  0.0002273  1.5399e-06  1.0847e-05
151.99  0.42476  0.15501  0.00033487  0.00018646  0.00068688  0.0025175  0.00063066  0.0024197  4.2356e-05  0.00035474  7.1765e-05  0.00047786  7.5081e-05  0.00034242  1.1764e-05  5.9731e-05  1.1309e-05  2.6112e-05  1.9935e-05  5.1297e-05  1.1521e-05  4.0856e-05  1.9758e-05  3.8034e-05  2.3766e-05  0.00024712  1.6726e-06  1.1817e-05
174.75  0.47887  0.1667  0.00036298  0.00020292  0.00073864  0.0027156  0.00068102  0.0026113  4.5961e-05  0.00038247  7.7226e-05  0.00051511  8.1185e-05  0.00036942  1.2847e-05  6.4948e-05  1.241e-05  2.8415e-05  2.1831e-05  5.5918e-05  1.2552e-05  4.416e-05  2.1288e-05  4.1059e-05  2.5498e-05  0.0002656  1.796e-06  1.2731e-05
200.92  0.53477  0.177  0.00038911  0.00021845  0.00078445  0.0028935  0.0007264  0.002784  4.9303e-05  0.00040733  8.2086e-05  0.00054848  8.6743e-05  0.0003937  1.3877e-05  6.9819e-05  1.3476e-05  3.0581e-05  2.3648e-05  6.0273e-05  1.3525e-05  4.7178e-05  2.2659e-05  4.3795e-05  2.702e-05  0.00028199  1.905e-06  1.355e-05
231.01  0.59081  0.18538  0.00041216  0.00023241  0.00082205  0.0030429  0.00076464  0.0029297  5.2237e-05  0.00042817  8.6118e-05  0.00057641  9.1502e-05  0.00041412  1.481e-05  7.4134e-05  1.4466e-05  3.2518e-05  2.5313e-05  6.4181e-05  1.4399e-05  4.9775e-05  2.3805e-05  4.6117e-05  2.826e-05  0.00029552  1.9944e-06  1.4238e-05
265.61  0.64496  0.19137  0.00043104  0.00024415  0.00084933  0.003156  0.00079369  0.003041  5.4615e-05  0.0004439  8.9111e-05  0.00059743  9.5213e-05  0.00042962  1.5602e-05  7.7682e-05  1.5335e-05  3.4133e-05  2.6743e-05  6.7452e-05  1.5132e-05  5.1821e-05  2.4663e-05  4.7902e-05  2.9152e-05  0.00030548  2.0597e-06  1.476e-05
305.39  0.69489  0.19457  0.00044473  0.00025305  0.00086451  0.0032261  0.00081175  0.0031113  5.6302e-05  0.00045358  9.0884e-05  0.0006103  9.7657e-05  0.00043928  1.6209e-05  8.0267e-05  1.6035e-05  3.5335e-05  2.7856e-05  6.9904e-05  1.5683e-05  5.3199e-05  2.5179e-05  4.9039e-05  2.964e-05  0.00031127  2.0968e-06  1.5086e-05
